VI	Active	Name	Unit
GLADE	TRUE	CIRUGIA Y CÁNCER	https://data.ec2u.eu/units/eb8c169ad7c21b333d5ad7209621e4fb
GLADE	TRUE	CITÓMICA	https://data.ec2u.eu/units/556a35e994c2d5c9307d4ea4299867fc
GLADE	TRUE	NEUROPSICOLOGÍA	https://data.ec2u.eu/units/6d556e76da067db78b6995c64e925788
GLADE	TRUE	ATENCION DE ENFERMERIA Y FISIOTERAPIA EN PROMOCIÓN DE LA SALUD, ESTILOS DE VIDA Y DISCAPACIDAD	https://data.ec2u.eu/units/da51817c7992f332c1527a4fc22a4225
GLADE	TRUE	FISIOPATOLOGÍA CARDIOVASCULAR Y RENAL	https://data.ec2u.eu/units/5073ba4e17584e9205009a83f66a560b
GLADE	TRUE	BASES MOLECULARES DEL DESARROLLO -BMD	https://data.ec2u.eu/units/6d52692d4736847b91ce49258a55753d
GLADE	TRUE	CARDIOLOGÍA	https://data.ec2u.eu/units/d8bb87cb35dd6ac3118fb6b487112d63
GLADE	TRUE	NEUROCIENCIA AUDITIVA	https://data.ec2u.eu/units/8cc3782c99c555ac54ad8cd25863ec92
GLADE	TRUE	GTPASAS Y CÁNCER: SEÑALIZACIÓN MEDIADA POR RAS	https://data.ec2u.eu/units/41bd69c38f16f3c5e5cd1e9b7b05ed6f
GLADE	TRUE	NEUROBIOQUÍMICA	https://data.ec2u.eu/units/b488e49934f083c637db5f1a86ffb0d2
GLADE	TRUE	PLASTICIDAD, DEGENERACIÓN Y REGENERACIÓN DEL SISTEMA VISUAL	https://data.ec2u.eu/units/64336c384fb045adb980a4689e74f707
GLADE	TRUE	INVESTIGACIÓN EN DISCAPACIDAD	https://data.ec2u.eu/units/f83b04e7f8a115ff25e009dbdc39e0d3
GLADE	TRUE	PLASTICIDAD NEURONAL Y NEURORREPARACIÓN	https://data.ec2u.eu/units/58ca18f424541b750951a50e06ee53ba
